idAlojamiento,Capacidad,Nombre,idParque,idCategoria,idUbicacion
1,957,'Chateu Cirella',1,1,1
2,750,'Chateu Ruscetti',2,2,2
3,798,'Chateu Capezzuto',3,1,3
4,681,'Chateu Tierney',4,4,4
5,764,'Chateu Rumfelt',5,4,5
6,846,'Chateu Crosswhite',6,3,6
7,610,'Chateu Shumock',7,2,7
8,822,'Chateu Nuetzman',8,1,8
9,898,'Chateu Shreve',9,3,9
10,578,'Chateu Dowell',10,1,10
11,698,'Chateu Sensing',11,4,11
12,538,'Chateu Justiniano',12,3,12
13,776,'Chateu Tinker',13,1,13
14,827,'Chateu Kurtzman',14,3,14
15,675,'Chateu Sessom',15,2,15
16,565,'Chateu Arbertha',16,4,16
17,599,'Chateu Hafeman',17,4,17
18,717,'Chateu Dence',18,3,18
19,861,'Chateu Spindel',19,3,19
20,533,'Chateu Earenfight',20,2,20
21,633,'Chateu Mathies',21,3,21
22,516,'Chateu Beaston',22,2,22
23,585,'Chateu Siebenberg',23,4,23
24,889,'Chateu Durning',24,3,24
25,860,'Chateu Goggin',25,3,25
26,763,'Chateu Burham',26,4,26
27,760,'Chateu Charle',27,1,27
28,807,'Chateu Osmera',28,2,28
29,654,'Chateu Gritten',29,2,29
30,774,'Chateu Adolphus',30,3,30
31,737,'Chateu Blansett',31,3,31
32,743,'Chateu Strada',32,1,32
33,712,'Chateu Storch',33,2,33
34,945,'Chateu Weaklend',34,3,34
35,823,'Chateu Speagle',35,1,35
36,896,'Chateu Portugal',36,1,36
37,768,'Chateu Chiado',37,1,37
38,518,'Chateu Phou',38,4,38
39,682,'Chateu Franko',39,4,39
40,571,'Chateu Johannsen',40,2,40
41,800,'Chateu Trotta',41,4,41
42,997,'Chateu Zuidema',42,1,42
43,933,'Chateu Athas',43,4,43
44,538,'Chateu Aird',44,3,44
45,601,'Chateu Cheater',45,4,45
46,856,'Chateu Bradshaw',46,4,46
47,501,'Chateu Kodama',47,2,47
48,628,'Chateu Huckabay',48,1,48
49,572,'Chateu Kotowski',49,3,49
50,767,'Chateu Elgart',50,1,50
51,731,'Chateu Spara',51,1,51
52,807,'Chateu Oxley',52,4,52
53,963,'Chateu Tagala',53,4,53
54,786,'Chateu Boisclair',54,3,54
55,768,'Chateu Erlwein',55,2,55
56,844,'Chateu Powanda',56,2,56
57,868,'Chateu Kofutua',57,1,57
58,781,'Chateu Steuart',58,1,58
59,998,'Chateu Patague',59,4,59
60,725,'Chateu Kreisler',60,4,60
61,528,'Chateu Roiger',61,4,61
62,674,'Chateu Yglesias',62,3,62
63,922,'Chateu Bowels',63,4,63
64,737,'Chateu Kaster',64,3,64
65,693,'Chateu Cucco',65,3,65
66,511,'Chateu Babbel',66,3,66
67,513,'Chateu Vettel',67,2,67
68,736,'Chateu Sosh',68,4,68
69,564,'Chateu Treible',69,2,69
70,564,'Chateu Jethva',70,3,70
71,642,'Chateu Pomplun',71,3,71
72,931,'Chateu Vandyck',72,4,72
73,576,'Chateu Bendure',73,4,73
74,537,'Chateu Bux',74,4,74
75,947,'Chateu Bollinger',75,4,75
76,902,'Chateu Kaszynski',76,3,76
77,952,'Chateu Pieper',77,3,77
78,746,'Chateu Mcclenic',78,2,78
79,539,'Chateu Donaghy',79,3,79
80,667,'Chateu Jannell',80,1,80
81,578,'Chateu Conales',81,3,81
82,531,'Chateu Kruebbe',82,2,82
83,724,'Chateu Pinsky',83,1,83
84,888,'Chateu Dage',84,3,84
85,791,'Chateu Staats',85,2,85
86,691,'Chateu Trachte',86,2,86
87,749,'Chateu Hollen',87,4,87
88,769,'Chateu Barmore',88,2,88
89,911,'Chateu Hayman',89,3,89
90,748,'Chateu Mormino',90,3,90
91,640,'Chateu Deliberto',91,4,91
92,813,'Chateu Vanveen',92,2,92
93,634,'Chateu Pikus',93,1,93
94,851,'Chateu Prabel',94,4,94
95,732,'Chateu Safe',95,2,95
96,907,'Chateu Almenar',96,1,96
97,933,'Chateu Bihm',97,4,97
98,820,'Chateu Odougherty',98,2,98
99,676,'Chateu Holland',99,3,99
100,962,'Chateu Farrant',100,3,100
