Cantidad,idEspecie,idAreaParque
49,1,1
21,9,1
13,17,1
11,2,2
10,9,2
10,17,2
45,3,3
44,9,3
36,17,3
18,4,4
36,9,4
33,17,4
46,5,5
43,9,5
22,17,5
46,6,6
12,9,6
22,17,6
21,7,7
49,9,7
11,17,7
43,8,8
31,9,8
40,17,8
11,1,9
21,10,9
35,17,9
29,2,10
43,10,10
29,17,10
50,3,11
21,10,11
20,17,11
37,4,12
47,10,12
31,17,12
16,5,13
47,10,13
23,17,13
41,6,14
36,10,14
28,17,14
38,7,15
25,10,15
50,17,15
20,8,16
40,10,16
20,17,16
24,1,17
20,11,17
14,17,17
48,2,18
41,11,18
20,17,18
34,3,19
30,11,19
24,17,19
27,4,20
41,11,20
16,17,20
18,5,21
22,11,21
16,17,21
24,6,22
40,11,22
28,17,22
33,7,23
11,11,23
40,17,23
33,8,24
13,11,24
23,17,24
20,1,25
13,12,25
44,17,25
36,2,26
31,12,26
15,17,26
21,3,27
38,12,27
49,17,27
38,4,28
40,12,28
30,17,28
25,5,29
41,12,29
44,17,29
40,6,30
14,12,30
44,17,30
10,7,31
46,12,31
27,17,31
23,8,32
14,12,32
15,17,32
14,1,33
44,13,33
42,17,33
25,2,34
22,13,34
14,17,34
29,3,35
11,13,35
36,17,35
48,4,36
37,13,36
12,17,36
48,5,37
12,13,37
28,17,37
36,6,38
49,13,38
29,17,38
41,7,39
47,13,39
33,17,39
20,8,40
28,13,40
44,17,40
28,1,41
11,14,41
39,17,41
10,2,42
10,14,42
43,17,42
49,3,43
34,14,43
49,17,43
14,4,44
35,14,44
39,17,44
38,5,45
12,14,45
42,17,45
35,6,46
24,14,46
48,17,46
35,7,47
39,14,47
20,17,47
14,8,48
38,14,48
12,17,48
43,1,49
42,15,49
20,17,49
46,2,50
43,15,50
24,17,50
38,3,51
13,15,51
27,17,51
20,4,52
14,15,52
35,17,52
32,5,53
16,15,53
27,17,53
26,6,54
47,15,54
29,17,54
38,7,55
45,15,55
49,17,55
11,8,56
33,15,56
32,17,56
20,1,57
24,16,57
42,17,57
17,2,58
17,16,58
35,17,58
17,3,59
36,16,59
34,17,59
18,4,60
33,16,60
44,17,60
23,5,61
30,16,61
25,17,61
42,6,62
41,16,62
32,17,62
39,7,63
32,16,63
14,17,63
44,8,64
12,16,64
47,17,64
11,1,65
18,9,65
16,18,65
14,2,66
43,9,66
36,18,66
33,3,67
28,9,67
39,18,67
15,4,68
41,9,68
31,18,68
26,5,69
18,9,69
32,18,69
29,6,70
43,9,70
42,18,70
42,7,71
50,9,71
31,18,71
46,8,72
23,9,72
14,18,72
39,1,73
18,10,73
44,18,73
29,2,74
42,10,74
22,18,74
22,3,75
43,10,75
25,18,75
24,4,76
17,10,76
31,18,76
30,5,77
10,10,77
18,18,77
29,6,78
45,10,78
48,18,78
16,7,79
16,10,79
26,18,79
41,8,80
10,10,80
48,18,80
28,1,81
34,11,81
14,18,81
49,2,82
17,11,82
50,18,82
38,3,83
10,11,83
38,18,83
27,4,84
