idProyecto,Presupuesto,InicioPeriodo,FinPeriodo,idEspecie
1,5699,2015-03-27 09:37:25,NULL,2
2,6993,2015-10-25 18:50:11,NULL,13
3,7304,2015-01-29 13:56:36,NULL,24
4,7566,2015-03-19 23:41:35,NULL,16
5,9287,2015-02-24 08:16:35,NULL,12
6,8118,2015-11-16 11:23:19,NULL,24
7,9881,2015-05-08 07:10:53,NULL,11
8,6401,2015-10-17 22:45:53,NULL,8
9,7827,2015-11-02 18:19:47,NULL,11
10,6319,2015-05-30 14:15:00,NULL,13
11,6071,2015-09-11 03:29:43,NULL,11
12,9741,2015-08-16 21:02:08,NULL,2
13,9389,2015-03-14 18:54:51,NULL,10
14,6499,2015-06-01 15:58:25,NULL,24
15,8952,2015-08-05 00:32:49,NULL,15
16,8302,2015-11-02 02:18:59,NULL,2
17,5544,2015-02-17 05:24:50,NULL,22
18,5491,2015-06-30 23:51:18,NULL,8
19,7916,2015-04-14 15:12:17,NULL,23
20,8245,2015-03-05 14:48:07,NULL,17
21,7922,2015-12-01 13:52:46,NULL,5
22,8222,2015-01-06 07:38:01,NULL,14
23,6781,2015-06-20 12:53:21,NULL,16
24,6924,2015-06-16 09:39:30,NULL,17
25,5447,2015-12-14 08:02:16,NULL,7
26,8739,2015-12-17 22:33:47,NULL,19
27,7491,2015-11-10 17:53:49,NULL,19
28,5616,2015-04-28 21:29:03,NULL,15
29,5940,2015-09-09 05:46:31,NULL,2
30,6029,2015-02-28 15:08:00,NULL,1
31,6921,2015-02-12 00:20:31,NULL,1
32,7825,2015-05-23 20:33:13,NULL,3
33,6108,2015-04-08 19:29:12,NULL,14
34,6006,2015-06-12 07:58:19,NULL,8
35,9775,2015-04-10 03:11:05,NULL,5
36,8449,2015-11-04 23:00:06,NULL,23
37,8597,2015-01-11 05:14:29,NULL,18
38,9499,2015-03-28 13:03:34,NULL,16
39,6706,2015-12-15 00:17:46,NULL,16
40,7309,2015-12-09 00:15:27,NULL,4
41,7012,2015-07-26 12:29:01,NULL,24
42,5094,2015-06-11 21:52:11,NULL,13
43,9926,2015-05-11 05:30:35,NULL,22
44,8653,2015-03-08 14:43:56,NULL,20
45,7583,2015-03-10 04:53:32,NULL,16
46,5465,2015-06-22 03:57:38,NULL,13
47,9618,2015-11-30 05:23:18,NULL,6
48,5449,2015-10-16 08:37:16,NULL,2
49,8223,2015-10-06 23:45:09,NULL,14
50,9881,2015-11-20 22:26:26,NULL,22
51,9678,2015-03-03 05:45:31,NULL,18
52,6371,2015-06-03 02:10:19,NULL,23
53,6396,2015-02-21 18:05:44,NULL,21
54,9351,2015-10-16 09:58:37,NULL,20
55,5540,2015-09-16 01:50:25,NULL,21
56,8696,2015-08-14 23:18:09,NULL,13
57,9584,2015-09-21 09:08:37,NULL,7
58,8447,2015-11-18 19:35:34,NULL,3
59,6835,2015-04-07 05:46:24,NULL,2
60,9453,2015-07-19 19:35:29,NULL,24
61,8155,2015-08-31 22:57:35,NULL,21
62,9901,2015-10-27 03:08:33,NULL,21
63,6354,2015-01-24 08:50:29,NULL,18
64,8418,2015-06-23 04:36:50,NULL,20
65,8425,2015-11-29 08:36:36,NULL,24
66,8048,2015-02-18 01:00:41,NULL,9
67,6549,2015-03-04 12:09:42,NULL,8
68,7601,2015-06-06 11:40:53,NULL,22
69,6725,2015-04-03 21:00:18,NULL,12
70,7216,2015-10-24 13:41:33,NULL,7
71,6544,2015-10-07 13:02:18,NULL,5
72,5647,2015-03-17 09:41:12,NULL,22
73,5419,2015-02-22 23:39:45,NULL,21
74,7898,2015-10-15 08:32:56,NULL,15
75,6747,2015-11-27 06:56:40,NULL,19
76,7479,2015-01-14 04:16:27,NULL,17
77,8407,2015-01-18 18:43:15,NULL,15
78,8743,2015-05-06 21:49:46,NULL,10
79,7547,2015-11-21 10:08:17,NULL,13
80,7300,2015-11-17 05:24:18,NULL,24
81,6045,2015-05-04 15:48:08,NULL,14
82,5170,2015-09-15 13:36:50,NULL,16
83,7143,2015-09-03 20:09:09,NULL,3
84,7221,2015-11-10 08:03:48,NULL,10
85,5249,2015-01-30 18:27:53,NULL,14
86,8637,2015-08-05 13:54:25,NULL,3
87,8693,2015-04-15 23:34:49,NULL,22
88,8126,2015-04-06 06:33:32,NULL,22
89,8259,2015-09-08 17:09:33,NULL,2
90,5682,2015-08-06 02:03:39,NULL,3
91,7282,2015-03-08 03:26:54,NULL,4
92,6443,2015-04-09 15:40:16,NULL,20
93,5219,2015-04-25 11:43:53,NULL,19
94,9097,2015-01-14 09:02:43,NULL,5
95,9589,2015-06-22 01:26:30,NULL,18
96,9890,2015-11-29 12:39:09,NULL,13
97,9547,2015-08-10 18:34:42,NULL,11
98,8979,2015-01-06 12:50:07,NULL,17
99,8877,2015-02-16 03:24:08,NULL,13
100,7442,2015-02-17 22:50:05,NULL,6
101,5247,2015-06-08 10:54:57,NULL,17
102,5502,2015-04-07 23:29:06,NULL,24
103,9957,2015-11-28 05:13:07,NULL,19
104,6529,2015-11-01 01:16:19,NULL,5
105,8580,2015-04-11 06:55:04,NULL,6
106,6957,2015-02-15 02:57:18,NULL,17
107,8739,2015-03-03 17:27:05,NULL,9
108,7271,2015-09-22 07:19:06,NULL,4
109,5782,2015-02-12 08:12:24,NULL,3
110,9011,2015-07-25 10:34:33,NULL,20
